"ticker","date","volume","cumulative_volume"
"AAPL","2020-02-10",109348800,"109348800"
"AAPL","2020-02-11",94323200,"203672000"
"AAPL","2020-02-12",113730400,"317402400"
"AAPL","2020-02-13",94747600,"412150000"
"AAPL","2020-02-14",80113600,"492263600"
"AAPL","2020-02-18",152531200,"644794800"
"AAPL","2020-02-19",93984000,"738778800"
"AAPL","2020-02-20",100566000,"839344800"
"AAPL","2020-02-21",129554000,"968898800"
"AAPL","2020-02-24",222195200,"1191094000"
"AAPL","2020-02-25",230673600,"1421767600"
"AAPL","2020-02-26",198054800,"1619822400"
"AAPL","2020-02-27",320605600,"1940428000"
"AAPL","2020-02-28",426510000,"2366938000"
"AAPL","2020-03-02",341397200,"2708335200"
"AAPL","2020-03-03",319475600,"3027810800"
"AAPL","2020-03-04",219178400,"3246989200"
"AAPL","2020-03-05",187572800,"3434562000"
"AAPL","2020-03-06",226176800,"3660738800"
"AAPL","2020-03-09",286744800,"3947483600"
"AAPL","2020-03-10",285290000,"4232773600"
"AAPL","2020-03-11",255598800,"4488372400"
"AAPL","2020-03-12",418474000,"4906846400"
"AAPL","2020-03-13",370732000,"5277578400"
"AAPL","2020-03-16",322423600,"5600002000"
"AAPL","2020-03-17",324056000,"5924058000"
"AAPL","2020-03-18",300233600,"6224291600"
"AAPL","2020-03-19",271857200,"6496148800"
"AAPL","2020-03-20",401693200,"6897842000"
"AAPL","2020-03-23",336752800,"7234594800"
"AAPL","2020-03-24",287531200,"7522126000"
"AAPL","2020-03-25",303602000,"7825728000"
"AAPL","2020-03-26",252087200,"8077815200"
"AAPL","2020-03-27",204216800,"8282032000"
"AAPL","2020-03-30",167976400,"8450008400"
"AAPL","2020-03-31",197002000,"8647010400"
"AAPL","2020-04-01",176218400,"8823228800"
"AAPL","2020-04-02",165934000,"8989162800"
"AAPL","2020-04-03",129880000,"9119042800"
"AAPL","2020-04-06",201820400,"9320863200"
"AAPL","2020-04-07",202887200,"9523750400"
"AAPL","2020-04-08",168895200,"9692645600"
"AAPL","2020-04-09",161834800,"9854480400"
"AAPL","2020-04-13",131022800,"9985503200"
"AAPL","2020-04-14",194994800,"10180498000"
"AAPL","2020-04-15",131154400,"10311652400"
"AAPL","2020-04-16",157125200,"10468777600"
"AAPL","2020-04-17",215250000,"10684027600"
"AAPL","2020-04-20",130015200,"10814042800"
"AAPL","2020-04-21",180991600,"10995034400"
"AAPL","2020-04-22",116862400,"11111896800"
"AAPL","2020-04-23",124814400,"11236711200"
"AAPL","2020-04-24",126161200,"11362872400"
"AAPL","2020-04-27",117087600,"11479960000"
"AAPL","2020-04-28",112004800,"11591964800"
"AAPL","2020-04-29",137280800,"11729245600"
"AAPL","2020-04-30",183064000,"11912309600"
"AAPL","2020-05-01",240616800,"12152926400"
"AAPL","2020-05-04",133568000,"12286494400"
"AAPL","2020-05-05",147751200,"12434245600"
"AAPL","2020-05-06",142333600,"12576579200"
"AAPL","2020-05-07",115215200,"12691794400"
"AAPL","2020-05-08",133838400,"12825632800"
"AAPL","2020-05-11",145946400,"12971579200"
"AAPL","2020-05-12",162301200,"13133880400"
"AAPL","2020-05-13",200622400,"13334502800"
"AAPL","2020-05-14",158929200,"13493432000"
"AAPL","2020-05-15",166348400,"13659780400"
"AAPL","2020-05-18",135178400,"13794958800"
"AAPL","2020-05-19",101729600,"13896688400"
"AAPL","2020-05-20",111504800,"14008193200"
"AAPL","2020-05-21",102688800,"14110882000"
"AAPL","2020-05-22",81803200,"14192685200"
"AAPL","2020-05-26",125522000,"14318207200"
"AAPL","2020-05-27",112945200,"14431152400"
"AAPL","2020-05-28",133560800,"14564713200"
"AAPL","2020-05-29",153532400,"14718245600"
"AAPL","2020-06-01",80791200,"14799036800"
"AAPL","2020-06-02",87642800,"14886679600"
"AAPL","2020-06-03",104491200,"14991170800"
"AAPL","2020-06-04",87560400,"15078731200"
"AAPL","2020-06-05",137250400,"15215981600"
"AAPL","2020-06-08",95654400,"15311636000"
"AAPL","2020-06-09",147712400,"15459348400"
"AAPL","2020-06-10",166651600,"15626000000"
"AAPL","2020-06-11",201662400,"15827662400"
"AAPL","2020-06-12",200146000,"16027808400"
"AAPL","2020-06-15",138808800,"16166617200"
"AAPL","2020-06-16",165428800,"16332046000"
"AAPL","2020-06-17",114406400,"16446452400"
"AAPL","2020-06-18",96820400,"16543272800"
"AAPL","2020-06-19",264476000,"16807748800"
"AAPL","2020-06-22",135445200,"16943194000"
"AAPL","2020-06-23",212155600,"17155349600"
"AAPL","2020-06-24",192623200,"17347972800"
"AAPL","2020-06-25",137522400,"17485495200"
"AAPL","2020-06-26",205256800,"17690752000"
"AAPL","2020-06-29",130646000,"17821398000"
"AAPL","2020-06-30",140223200,"17961621200"
"AAPL","2020-07-01",110737200,"18072358400"
"AAPL","2020-07-02",114041600,"18186400000"
"AAPL","2020-07-06",118655600,"18305055600"
"AAPL","2020-07-07",112424400,"18417480000"
"AAPL","2020-07-08",117092000,"18534572000"
"AAPL","2020-07-09",125642800,"18660214800"
"AAPL","2020-07-10",90257200,"18750472000"
"AAPL","2020-07-13",191649200,"18942121200"
"AAPL","2020-07-14",170989200,"19113110400"
"AAPL","2020-07-15",153198000,"19266308400"
"AAPL","2020-07-16",110577600,"19376886000"
"AAPL","2020-07-17",92186800,"19469072800"
"AAPL","2020-07-20",90318000,"19559390800"
"AAPL","2020-07-21",103433200,"19662824000"
"AAPL","2020-07-22",89001600,"19751825600"
"AAPL","2020-07-23",197004400,"19948830000"
"AAPL","2020-07-24",185438800,"20134268800"
"AAPL","2020-07-27",121214000,"20255482800"
"AAPL","2020-07-28",103625600,"20359108400"
"AAPL","2020-07-29",90329200,"20449437600"
"AAPL","2020-07-30",158130000,"20607567600"
"AAPL","2020-07-31",374336800,"20981904400"
"AAPL","2020-08-03",308151200,"21290055600"
